Name,Ticker,Industry,Market Capitalization ($M)
Toromont Industries,TIH.TO,Industrial,"1,747"
Russel Metals,RUS.TO,Materials,"1,716"
Whitecap Resources Inc,WCP.TO,Materials,"3,414.60"
Capital Power,CPX.TO,Utility,"1,643"
Amaya Inc,AYA.TO,Consumer Discretionary,"3,329.90"
Secure Energy Services,SES.TO,Energy,"1,569"
Element Fleet Management Corp,EFN.TO,Industrial,"3,314.50"
Colliers International Group Inc,CIGI.TO,Real Estate,"2,875.80"
temp,CFW.TO,Energy,"1,500"
Winpak,WPK.TO,Industrial,"1,480"
Superior Plus,SPB.TO,Consumer Discretionary,"1,402"
FirstService,FSV.TO,Real Estate,"1,399"
Parkland Fuel,PKI.TO,Energy,"1,372"
Transcontinental,TCL-A.TO,Industrial,"1,262"
Trinidad Drilling,TDG.TO,Energy,"1,258"
Dorel Industries,DII-B.TO,Consumer Discretionary,"1,224"
North West Co,NWC.TO,Consumer Staples,"1,218"
First National Financial,FN.TO,Financial,"1,210"
Centerra Gold,CG.TO,Materials,"1,189"
Dominion Diamond,DDC.TO,Consumer Discretionary,"1,172"
Sherritt International,S.TO,Materials,"1,088"
temp,DGC.TO,Materials,"2,650.40"
Kirkland Lake Gold Ltd,KL.TO,Materials,"2,549.00"
TFI International Inc,TFII.TO,Transportation,"2,518.10"
The Descartes Systems Group Inc,DSG.TO,Technology,"2,446.20"
Gibson Energy Inc,GEI.TO,Energy,"2,384.20"
Enerflex,EFX.TO,Energy,"1,076"
Just Energy Group,JE.TO,Energy,"1,020"
temp,MRE.TO,Industrial,934
Leon's Furniture,LNF.TO,Consumer Discretionary,915
Intertape Polymer Group,ITP.TO,Industrial,906
Newalta,NAL.TO,Industrial,884
Western Forest Products,WEF.TO,Materials,858
AutoCanada,ACQ.TO,Consumer Discretionary,845
Aecon Group,ARE.TO,Industrial,814
Cott,BCB.TO,Consumer Staples,780
Cogeco,CGO.TO,Consumer Staples,767
Canfor Pulp Products,CFX.TO,Materials,755
SunOpta,SOY.TO,Consumer Staples,719
Canaccord Genuity Group,CF.TO,Financial,696
High Liner Foods,HLF.TO,Consumer Staples,673
Lassonde Industries,LAS-A.TO,Consumer Staples,639
Wajax,WJX.TO,Industrial,636
New Flyer Industries,NFI.TO,Industrial,620
EnerCare Inc,ECI.TO,Consumer Staples,"2,093.40"
Boralex Inc Class A,BLX.TO,Energy,"1,672.90"
Bird Construction,BDT.TO,Industrial,545
Cascades,CAS.TO,Industrial,533
Uni-Select,UNS.TO,Industrial,506
Reitmans Canada,RET-A.TO,Consumer Discretionary,451
Torstar,TS-B.TO,Consumer Staples,435
Premium Brands,PBH.TO,Consumer Staples,416
Exchange Income,EIF.TO,Industrial,414
temp,MAL.TO,Aerospace/Defense,335
Alliance Grain Traders,AGT.TO,Consumer Staples,306
Indigo Books & Music,IDG.TO,Consumer Discretionary,271
Rocky Mountain Dealerships,RME.TO,Industrial,241
