Name,Ticker,Industry,Market Capitalization ($M)
"Brocade Communications Systems, Inc.",BRCD,Technology,$5.18 
National Instruments Corporation,NATI,Technology,$5.14 
"Guidewire Software, Inc.",GWRE,Technology,$5.09 
ARRIS International plc,ARRS,Technology,$4.98 
"Nuance Communications, Inc.",NUAN,Technology,$4.87 
NICE Ltd,NICE,Technology,$4.73 
FLIR Systems,FLIR,Technology,$4.72 
Synnex Corporation,SNX,Technology,$4.70 
"Tableau Software, Inc.",DATA,Technology,$4.67 
"Medidata Solutions, Inc.",MDSO,Technology,$4.54 
Cypress Semiconductor Corporation,CY,Technology,$4.42 
Pegasystems Inc.,PEGA,Technology,$4.38 
"EPAM Systems, Inc.",EPAM,Technology,$4.35 
AU Optronics Corp,AUO,Technology,$4.19 
"Cavium, Inc.",CAVM,Technology,$4.16 
"First Solar, Inc.",FSLR,Technology,$4.12 
"Ubiquiti Networks, Inc.",UBNT,Technology,$4.08 
"j2 Global, Inc.",JCOM,Technology,$4.06 
Curtiss-Wright Corporation,CW,Technology,$4.05 
"Blackbaud, Inc.",BLKB,Technology,$3.99 
"Aspen Technology, Inc.",AZPN,Technology,$3.99 
"Paycom Software, Inc.",PAYC,Technology,$3.95 
"Monolithic Power Systems, Inc.",MPWR,Technology,$3.94 
"Cirrus Logic, Inc.",CRUS,Technology,$3.92 
Air Lease Corporation,AL,Technology,$3.84 
Teradata Corporation,TDC,Technology,$3.81 
Tech Data Corporation,TECD,Technology,$3.78 
"ViaSat, Inc.",VSAT,Technology,$3.75 
"DST Systems, Inc.",DST,Technology,$3.70 
"Proofpoint, Inc.",PFPT,Technology,$3.68 
"CoreLogic, Inc.",CLGX,Technology,$3.64 
"Ellie Mae, Inc.",ELLI,Technology,$3.64 
"MACOM Technology Solutions Holdings, Inc.",MTSI,Technology,$3.47 
"Integrated Device Technology, Inc.",IDTI,Technology,$3.42 
"Manhattan Associates, Inc.",MANH,Technology,$3.29 
InterXion Holding N.V.,INXN,Technology,$3.24 
YY Inc.,YY,Technology,$3.20 
"NetScout Systems, Inc.",NTCT,Technology,$3.12 
Criteo S.A.,CRTO,Technology,$3.09 
John Bean Technologies Corporation,JBT,Technology,$3.07 
"MuleSoft, Inc.",MULE,Technology,$3.07 
"CACI International, Inc.",CACI,Technology,$3.03 
Zynga Inc.,ZNGA,Technology,$3.01 
Wix.com Ltd.,WIX,Technology,$2.99 
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,SAIC,Technology,$2.98 
"Nutanix, Inc.",NTNX,Technology,$2.96 
"RealPage, Inc.",RP,Technology,$2.88 
"On Assignment, Inc.",ASGN,Technology,$2.88 
"Silicon Laboratories, Inc.",SLAB,Technology,$2.87 
Finisar Corporation,FNSR,Technology,$2.83 
Sanmina Corporation,SANM,Technology,$2.77 
"Zendesk, Inc.",ZEN,Technology,$2.73 
"51job, Inc.",JOBS,Technology,$2.70 
"FireEye, Inc.",FEYE,Technology,$2.69 
"Ringcentral, Inc.",RNG,Technology,$2.67 
Twilio Inc.,TWLO,Technology,$2.61 
"ACI Worldwide, Inc.",ACIW,Technology,$2.60 
"Welbilt, Inc.",WBT,Technology,$2.57 
Amaya Inc.,AYA,Technology,$2.57 
"Commvault Systems, Inc.",CVLT,Technology,$2.49 
Verint Systems Inc.,VRNT,Technology,$2.45 
Rexnord Corporation,RXN,Technology,$2.43 
"Cree, Inc.",CREE,Technology,$2.36 
"Allscripts Healthcare Solutions, Inc.",MDRX,Technology,$2.35 
Semtech Corporation,SMTC,Technology,$2.34 
"HubSpot, Inc.",HUBS,Technology,$2.33 
"Box, Inc.",BOX,Technology,$2.31 
"New Relic, Inc.",NEWR,Technology,$2.30 
Scientific Games Corp,SGMS,Technology,$2.28 
Viavi Solutions Inc.,VIAV,Technology,$2.27 
Paylocity Holding Corporation,PCTY,Technology,$2.26 
Convergys Corporation,CVG,Technology,$2.22 
"Groupon, Inc.",GRPN,Technology,$2.22 
MicroStrategy Incorporated,MSTR,Technology,$2.20 
"Amkor Technology, Inc.",AMKR,Technology,$2.19 
Tower Semiconductor Ltd.,TSEM,Technology,$2.17 
"2U, Inc.",TWOU,Technology,$2.17 
"Electronics for Imaging, Inc.",EFII,Technology,$2.16 
"Power Integrations, Inc.",POWI,Technology,$2.16 
3D Systems Corporation,DDD,Technology,$2.12 
Cloudera,CLDR,Technology,$2.07 
"Mellanox Technologies, Ltd.",MLNX,Technology,$2.06 
Acxiom Corporation,ACXM,Technology,$2.04 
"Okta, Inc.",OKTA,Technology,$2.03 
"Luxoft Holding, Inc.",LXFT,Technology,$2.00 
"Cornerstone OnDemand, Inc.",CSOD,Technology,$1.98 
Korn/Ferry International,KFY,Technology,$1.98 
"The Trade Desk, Inc.",TTD,Technology,$1.96 
"Inovalon Holdings, Inc.",INOV,Technology,$1.90 
"Celestica, Inc.",CLS,Technology,$1.89 
"TeleTech Holdings, Inc.",TTEC,Technology,$1.84 
Cabot Microelectronics Corporation,CCMP,Technology,$1.84 
Blackline,BL,Technology,$1.82 
"MaxLinear, Inc",MXL,Technology,$1.80 
"TrueCar, Inc.",TRUE,Technology,$1.80 
The Descartes Systems Group Inc.,DSGX,Technology,$1.78 
Sohu.com Inc.,SOHU,Technology,$1.76 
Plexus Corp.,PLXS,Technology,$1.75 
"Alarm.com Holdings, Inc.",ALRM,Technology,$1.75 
ETSY,ETSY,Technology,$1.73 
CyberArk Software Ltd.,CYBR,Technology,$1.70 
"TTM Technologies, Inc.",TTMI,Technology,$1.70 
Aircastle Limited,AYR,Technology,$1.70 
Silicon Motion Technology Corporation,SIMO,Technology,$1.69 
Synaptics Incorporated,SYNA,Technology,$1.68 
"Ebix, Inc.",EBIX,Technology,$1.66 
"Ambarella, Inc.",AMBA,Technology,$1.62 
Shutterfly,SFLY,Technology,$1.62 
"Benchmark Electronics, Inc.",BHE,Technology,$1.58 
"Imperva, Inc.",IMPV,Technology,$1.56 
"Omnicell, Inc.",OMCL,Technology,$1.56 
"Acacia Communications, Inc.",ACIA,Technology,$1.56 
"Callidus Software, Inc.",CALD,Technology,$1.53 
"Oclaro, Inc.",OCLR,Technology,$1.53 
Cheetah Mobile Inc.,CMCM,Technology,$1.52 
Coupa Software Incorporated,COUP,Technology,$1.52 
Globant S.A.,GLOB,Technology,$1.51 
"Q2 Holdings, Inc.",QTWO,Technology,$1.51 
"Shutterstock, Inc.",SSTK,Technology,$1.49 
"Insperity, Inc.",NSP,Technology,$1.49 
Progress Software Corporation,PRGS,Technology,$1.49 
Xperi Corporation,XPER,Technology,$1.48 
"Qualys, Inc.",QLYS,Technology,$1.47 
Mimecast Limited,MIME,Technology,$1.47 
Actuant Corporation,ATU,Technology,$1.45 
Gigamon Inc.,GIMO,Technology,$1.42 
"Brooks Automation, Inc.",BRKS,Technology,$1.42 
"Sykes Enterprises, Incorporated",SYKE,Technology,$1.41 
"OSI Systems, Inc.",OSIS,Technology,$1.40 
"Syntel, Inc.",SYNT,Technology,$1.40 
Fang Holdings Limited,SFUN,Technology,$1.38 
Inphi Corporation,IPHI,Technology,$1.37 
"CSG Systems International, Inc.",CSGS,Technology,$1.35 
Tennant Company,TNC,Technology,$1.31 
"Kulicke and Soffa Industries, Inc.",KLIC,Technology,$1.29 
"Presidio, Inc.",PSDO,Technology,$1.29 
"Stratasys, Ltd.",SSYS,Technology,$1.27 
"BroadSoft, Inc.",BSFT,Technology,$1.27 
"Rambus, Inc.",RMBS,Technology,$1.26 
"MINDBODY, Inc.",MB,Technology,$1.25 
"Evertec, Inc.",EVTC,Technology,$1.25 
"Fitbit, Inc.",FIT,Technology,$1.24 
"Super Micro Computer, Inc.",SMCI,Technology,$1.19 
"Barracuda Networks, Inc.",CUDA,Technology,$1.19 
"Endurance International Group Holdings, Inc.",EIGI,Technology,$1.18 
GoPro,GPRO,Technology,$1.17 
Milacron Holdings Corp.,MCRN,Technology,$1.17 
Diodes Incorporated,DIOD,Technology,$1.16 
Standex International Corporation,SXI,Technology,$1.14 
"Five9, Inc.",FIVN,Technology,$1.11 
"TrueBlue, Inc.",TBI,Technology,$1.11 
Veeco Instruments Inc.,VECO,Technology,$1.11 
SPX Corporation,SPXC,Technology,$1.06 
ePlus inc.,PLUS,Technology,$1.04 
"ScanSource, Inc.",SCSC,Technology,$1.00 
Talend,TLND,Technology,$0.98 
Instructure,INST,Technology,$0.84 
Quantenna,QTNA,Technology,$0.63 
